NCES ID,State,School District (Portal Name),acfrs_original_name,Year,Net Pension Liability,Net Pension Asset,NPL less NPA,States Proportionate Share of Net Pension liability,Overall Liability (Asset) Associated with District Staff,Comments,Employer name in GASB 68/ACFR,
618030,CA,Huntington Beach City School District,Huntington Beach City School District,2020,"74,806,901",,"74,806,901","28,773,271","103,580,172",,,
618060,CA,Huntington Beach Union High School District,Huntington Beach Union High School District,2020,"199,270,454",,"199,270,454","74,403,446","273,673,900",,,
4824000,TX,Huntington Independent School District,Huntington Independent School District,2020,"4,688,271",,"4,688,271","8,086,796","12,775,067",,,
3904950,OH,Huntington Local School District,Huntington Local School District,2020,"15,478,532",,"15,478,532",,"15,478,532",,,
3615090,NY,Huntington Union Free School District,Huntington Union Free School District,2020,"10,555,321","7,366,131","3,189,190",,"3,189,190",,,
1719830,IL,Huntley Community School District 158,Huntley Community School District 158,2020,"10,568,103",,"10,568,103","380,008,988","390,577,091",,,
101800,AL,Huntsville City Board of Education,Huntsville City Board Of Education,2020,"209,160,000",,"209,160,000",,"209,160,000",,,
4824030,TX,Huntsville Independent School District,Huntsville Independent School District,2020,"18,240,206",,"18,240,206","24,368,898","42,609,104",,,
508130,AR,Huntsville School District No.1,Huntsville School District No.1,2020,"18,945,123",,"18,945,123",,"18,945,123",,,
3904413,OH,Huron City School District,Huron City School District,2020,"16,987,948",,"16,987,948",,"16,987,948",,,
2618930,MI,Huron School District,Huron School District,2020,"56,872,984",,"56,872,984",,"56,872,984",,,
4635480,SD,Huron School District No.2-2,Huron School District No.2-2,2020,,"77,881","-77,881",,"-77,881",,,
2618990,MI,Huron Valley Schools,Huron Valley Schools,2020,"195,402,936",,"195,402,936",,"195,402,936",,,
4824060,TX,Hurst-Euless-Bedford Independent School District,Hurst-Euless-Bedford Independent School District,2020,"69,609,737",,"69,609,737","96,762,975","166,372,712",,,
2714970,MN,Hutchinson Independent School District No. 423,Hutchinson Independent School District 423,2020,"20,644,087",,"20,644,087","1,582,861","22,226,948",,,
4824100,TX,Hutto Independent School District,Hutto Independent School District,2020,"20,375,481",,"20,375,481","34,186,951","54,562,432",,,
4011580,OK,Felt School District I-10,Felt School District I-10,2020,,,0,,0,,,
5504590,WI,Fennimore Community School District,Fennimore Community School District,2020,,"1,192,178","-1,192,178",,"-1,192,178",,,
2614230,MI,Fennville Public Schools,Fennville Public Schools,2020,"24,844,132",,"24,844,132",,"24,844,132",,,
2614250,MI,Fenton Area Public Schools,Fenton Area Public Schools,2020,"65,017,094",,"65,017,094",,"65,017,094",,,
1715030,IL,Fenton High School District No. 100,Fenton High School District No. 100,2020,"2,780,505",,"2,780,505","107,281,487","110,061,992",,,
4701230,TN,Fentress County Schools,Fentress County Schools,2020,,,0,,0,,,
2912010,MO,ferguson reorganized school district r-2,Ferguson Reorganized School District R-2,2020,,,0,,0,,,
4104950,OR,Fern Ridge School District No. 28-J,Fern Ridge School District No. 28-J,2020,"9,705,031",,"9,705,031",,"9,705,031",,,
4209750,PA,Ferndale Area School District,Ferndale Area School District,2020,"16,234,000",,"16,234,000",,"16,234,000",,,
2614280,MI,Ferndale Public Schools,Ferndale Public Schools,2020,"62,152,312",,"62,152,312",,"62,152,312",,,
5302850,WA,Ferndale School District No. 502,Ferndale School District No. 502,2020,"21,618,271",,"21,618,271",,"21,618,271",,,
600037,CA,Ferndale Unified School District,Ferndale Unified School District,2020,"5,229,867",,"5,229,867","2,131,696","7,361,563",,,
4819170,TX,Ferris Independent School District,Ferris Independent School District,2020,"7,069,076",,"7,069,076","13,349,622","20,418,698",,,
2912030,MO,festus R-Vi school district,Festus R-Vi School District,2020,"24,686,925",,"24,686,925",,"24,686,925",,,
3904919,OH,Field Local School District,Field Local School District,2020,"21,629,409",,"21,629,409",,"21,629,409",,,
613740,CA,Fieldbrook Elementary School District,Fieldbrook Elementary School District,2020,"1,411,659",,"1,411,659","480,188","1,891,847",,,
1715100,IL,Fieldcrest Community Unit District No.6,Fieldcrest Community Unit District No.6,2020,,,0,,0,,,
5302880,WA,Fife School District No. 417,Fife School District No. 417,2020,"16,702,649",,"16,702,649",,"16,702,649",,,
1601050,ID,Filer School District No 413,Filer School District No 413,2020,"2,329,821",,"2,329,821",,"2,329,821",,,
3611070,NY,Fillmore Central School District,Fillmore Central School District,2020,"1,197,061","679,033","518,028",,"518,028",,,
613800,CA,Fillmore Unified School District,Fillmore Unified School District,2020,"46,999,700",,"46,999,700","15,767,618","62,767,318",,,
3910000,OH,Findlay City School District,Findlay City School District,2020,"76,834,571",,"76,834,571",,"76,834,571",,,
5302910,WA,Finley School District No 53,Finley School District No 53,2020,"3,775,944",,"3,775,944",,"3,775,944",,,
3904733,OH,Finneytown Local School District,Finneytown Local School District,2020,"20,392,190",,"20,392,190",,"20,392,190",,,
613840,CA,Firebaugh-Las Deltas Unified School District,Firebaugh-Las Deltas Unified School District,2020,"30,849,504",,"30,849,504","10,898,935","41,748,439",,,
3904815,OH,Firelands Local School District,Firelands Local School District,2020,"19,896,955",,"19,896,955",,"19,896,955",,,
2614460,MI,Fitzgerald Public Schools,Fitzgerald Public Schools,2020,"56,791,176",,"56,791,176",,"56,791,176",,,
1200540,FL,Flagler County District School Board,Flagler County District School Board,2020,"73,693,731",,"73,693,731",,"73,693,731",,,
402860,AZ,Flagstaff Unified School District No.1,Flagstaff Unified School District No.1,2020,"74,087,249",,"74,087,249",,"74,087,249",,,
5514970,WI,School District of Flambeau,School District Of Flambeau,2020,,"795,178","-795,178",,"-795,178",,,
2607080,MI,Flat Rock Community Schools,Flat Rock Community Schools,2020,"34,503,963",,"34,503,963",,"34,503,963",,,
4819280,TX,Flatonia Independent School District,Flatonia Independent School District,2020,"1,673,873",,"1,673,873","3,097,877","4,771,750",,,
4209780,PA,Fleetwood Area School District,Fleetwood Area School District,2020,"65,168,000",,"65,168,000",,"65,168,000",,,
2101920,KY,Fleming County School District,Fleming County School District,2020,"7,824,614",,"7,824,614","39,223,666","47,048,280",,,
3405190,NJ,Flemington-Raritan Regional School District,Flemington-Raritan Regional School District,2020,"7,756,666",,"7,756,666","152,720,409","160,477,075",,,
4011700,OK,Fletcher School District I- 9,Fletcher School District I- 9,2020,,,0,,0,,,
2614520,MI,Flint City School District,Flint City School District,2020,"84,818,316",,"84,818,316",,"84,818,316",,,
506150,AR,Flippin School District No. 26,Flippin School District No. 26,2020,"6,661,058",,"6,661,058",,"6,661,058",,,
1715400,IL,Flora Community Unit School District 35,Flora Community Unit School District 35,2020,,,0,,0,,,
4502250,SC,Florence County School District No.5,Florence County School District No.5,2020,"15,921,779",,"15,921,779",,"15,921,779",,,
101530,AL,Florence City Board of Education,Florence City Board Of Education,2020,"41,199,000",,"41,199,000",,"41,199,000",,,
4819320,TX,Florence Independent School District,Florence Independent School District,2020,"3,674,472",,"3,674,472","5,400,293","9,074,765",,,
3405220,NJ,Florence Township School District,Florence Township School District,2020,"5,130,080",,"5,130,080","59,209,516","64,339,596",,,
402920,AZ,Florence Unified School District No. 1,Florence Unified School District No. 1,2020,"61,398,634",,"61,398,634",,"61,398,634",,,
4819350,TX,Floresville Independent School District,Floresville Independent School District,2020,"10,900,397",,"10,900,397","17,196,695","28,097,092",,,
1715420,IL,Flossmoor School District 161,Flossmoor School District 161,2020,"1,997,957",,"1,997,957","106,359,211","108,357,168",,,
4819380,TX,Flour Bluff Independent School District,Flour Bluff Independent School District,2020,"14,954,926",,"14,954,926","25,525,645","40,480,571",,,
4011760,OK,Flower Mound School District C-48,Flower Mound School District C-48,2020,,,0,,0,,,
403010,AZ,Flowing Wells Unified School District No.8,Flowing Wells Unified School District No.8,2020,"36,887,199",,"36,887,199",,"36,887,199",,,
1302190,GA,Floyd County Board of Education,Floyd County Board Of Education,2020,"101,000,000",,"101,000,000","1,055,337","102,055,337",,,
2101950,KY,Floyd County School District,Floyd County School District,2020,"24,211,114",,"24,211,114","97,999,201","122,210,315",,,
4819440,TX,Floydada Independent School District,Floydada Independent School District,2020,"2,760,818",,"2,760,818","3,912,059","6,672,877",,,
2614550,MI,Flushing Community Schools,Flushing Community Schools,2020,"84,681,667",,"84,681,667",,"84,681,667",,,
4819500,TX,Follett Independent School District,Follett Independent School District,2020,"522,739",,"522,739","1,124,934","1,647,673",,,
613890,CA,Folsom Cordova Unified School District,Folsom Cordova Unified School District,2020,"241,304,000",,"241,304,000","90,598,000","331,902,000",,,
5504680,WI,Fond Du Lac School District,Fond Du Lac School District,2020,"2,201,588","9,491,253","-7,289,665",,"-7,289,665",,,
3611190,NY,Fonda-Fultonville Central School District,Fonda-Fultonville Central School District,2020,"1,438,142","1,520,818","-82,676",,"-82,676",,,
613920,CA,Fontana Unified School District,Fontana Unified School District,2020,"484,000,000",,"484,000,000","183,408,079","667,408,079",,,
1710950,IL,Ford Heights School District 169,Ford Heights School District 169,2020,"293,952","1,082,394","-788,442","20,920,221","20,131,779",,,
2912180,MO,fordland R-III school district,Fordland R-Iii School District,2020,"4,085,007",,"4,085,007",,"4,085,007",,,
506210,AR,Fordyce School District No. 39,Fordyce School District No. 39,2020,"6,505,978",,"6,505,978",,"6,505,978",,,
506240,AR,Foreman School District No. 25,Foreman School District No. 25,2020,"3,602,984",,"3,602,984",,"3,602,984",,,
2614570,MI,Forest Area Community Schools,Forest Area Community Schools,2020,"8,675,427",,"8,675,427",,"8,675,427",,,
4208280,PA,Forest Area School District,Forest Area School District,2020,"14,923,652",,"14,923,652",,"14,923,652",,,
1911790,IA,Forest City Community School District,Forest City Community School District,2020,"6,217,177",,"6,217,177",,"6,217,177",,,
4209930,PA,Forest City Regional School District,Forest City Regional School District,2020,"21,801,000",,"21,801,000",,"21,801,000",,,
4011850,OK,Forest Grove Public Schools District No C-1,Forest Grove Public Schools C-1,2020,,,0,,0,,,
4105160,OR,Forest Grove School District No. 15,Forest Grove School District No. 15,2020,"65,644,102",,"65,644,102",,"65,644,102",,,
3904734,OH,Forest Hills Local School District,Forest Hills Local School District,2020,"101,000,000",,"101,000,000",,"101,000,000",,,
2614610,MI,Forest Hills Public Schools,Forest Hills Public Schools,2020,"211,000,000",,"211,000,000",,"211,000,000",,,
4209940,PA,Forest Hills School District,Forest Hills School District,2020,"39,438,000",,"39,438,000",,"39,438,000",,,
2611190,MI,Forest Park School District,Forest Park School District,2020,"8,884,393",,"8,884,393",,"8,884,393",,,
1715480,IL,Forest Ridge School District 142,Forest Ridge School District 142,2020,"740,061",,"740,061","52,669,300","53,409,361",,,
4819530,TX,Forestburg Independent School District,Forestburg Independent School District,2020,"526,170",,"526,170","1,093,452","1,619,622",,,
613980,CA,Foresthill Union School District,Foresthill Union Elementary School District,2020,"2,709,480",,"2,709,480","1,330,105","4,039,585",,,
614010,CA,Forestville Union Elementary School District,Forestville Union Elementary School District,2020,"3,607,914",,"3,607,914","1,159,754","4,767,668",,,
4011880,OK,Forgan School District I-123,Forgan School District I-123,2020,,,0,,0,,,
614040,CA,Forks of Salmon Elementary School District,Forks Of Salmon Elementary School District,2020,"140,920",,"140,920","33,156","174,076",,,
4819560,TX,Forney Independent School District,Forney Independent School District,2020,"26,248,659",,"26,248,659","40,619,625","66,868,284",,,
506270,AR,Forrest City School District No.7,Forrest City School District No.7,2020,"21,715,219",,"21,715,219",,"21,715,219",,,
2801490,MS,Forrest County School District,Forrest County School District,2020,"40,932,827",,"40,932,827",,"40,932,827",,,
3612300,NY,Gorham-Middlesex Central School District,Gorham-Middlesex Central School District,2020,"3,111,230","1,548,176","1,563,054",,"1,563,054",,,
4821270,TX,Gorman Independent School District,Gorman Independent School District,2020,"1,663,596",,"1,663,596","2,003,739","3,667,335",,,
615600,CA,Gorman Joint School District,Gorman Joint School District,2020,"709,105",,"709,105","340,284","1,049,389",,,
3612330,NY,Goshen Central School District,Goshen Central School District,2020,"5,817,874","4,370,137","1,447,737",,"1,447,737",,,
5602990,WY,Goshen County School District 1,Goshen County School District 1,2020,"22,947,594",,"22,947,594",,"22,947,594",,,
3904634,OH,Goshen Local School District,Goshen Local School District,2020,"32,810,614",,"32,810,614",,"32,810,614",,,
500029,AR,Gosnell School District No.6,Gosnell School District No.6,2020,"9,688,966",,"9,688,966",,"9,688,966",,,
3171100,NE,Dawson County School District No. 20,Gothenburg Public Schools,2020,,,0,,0,,,
3612360,NY,Gouverneur Central School District,Gouverneur Central School District,2020,"2,860,181","1,543,132","1,317,049",,"1,317,049",,,
4210860,PA,Governor Mifflin School District,Governor Mifflin School District,2020,"100,255,000",,"100,255,000",,"100,255,000",,,
3612390,NY,Gowanda Central School District,Gowanda Central School District,2020,"3,085,865","1,782,922","1,302,943",,"1,302,943",,,
4013080,OK,Gracemont School District I-86,Gracemont School District I-86,2020,,,0,,0,,,
1302460,GA,Grady County Board of Education,Grady County Board Of Education,2020,"42,428,246",,"42,428,246","462,883","42,891,129",,,
4821300,TX,Grady Independent School District,Grady Independent School District,2020,"1,080,425",,"1,080,425","1,569,228","2,649,653",,,
1912810,IA,Graettinger-Terril Community School District,Graettinger-Terril Community School District,2020,"2,104,508",,"2,104,508",,"2,104,508",,,
4821330,TX,Graford Independent School District,Graford Independent School District,2020,"874,074",,"874,074","1,928,800","2,802,874",,,
5505610,WI,School District of Grafton,School District Of Grafton,2020,"3,430,737","2,803,264","627,473",,"627,473",,,
3701770,NC,Graham County Board of Education,Graham County Board Of Education,2020,"5,640,661",,"5,640,661",,"5,640,661",,,
4821360,TX,Graham Independent School District,Graham Independent School District,2020,"5,311,973",,"5,311,973","10,671,135","15,983,108",,,
3904619,OH,Graham Local School District,Graham Local School District,2020,"19,506,535",,"19,506,535",,"19,506,535",,,
4701440,TN,Grainger County Schools,Grainger County Schools,2020,,,0,,0,,,
4821390,TX,Granbury Independent School District,Granbury Independent School District,2020,"19,723,545",,"19,723,545","29,298,354","49,021,899",,,
2616350,MI,Grand Blanc Community Schools,Grand Blanc Community Schools,2020,"146,359,819",,"146,359,819",,"146,359,819",,,
403550,AZ,Grand Canyon Unified School District No.4,Grand Canyon Unified School District No.4,2020,"4,218,382",,"4,218,382",,"4,218,382",,,
4900330,UT,Grand County School District,Grand County School District,2020,"5,964,440",,"5,964,440",,"5,964,440",,,
3808130,ND,Grand Forks Public School District No.1,Grand Forks Public School District No.1,2020,,,0,,0,,,
2616380,MI,Grand Haven Area Public Schools,Grand Haven Area Public Schools,2020,"144,462,656",,"144,462,656",,"144,462,656",,,
3607020,NY,Grand Island Central School District,Grand Island Central School District,2020,"4,864,011","3,643,593","1,220,418",,"1,220,418",,,
2616410,MI,Grand Ledge Public Schools,Grand Ledge Public Schools,2020,"100,794,276",,"100,794,276",,"100,794,276",,,
4821420,TX,Grand Prairie Independent School District,Grand Prairie Independent School District,2020,"98,788,822",,"98,788,822","131,909,503","230,698,325",,,
2616440,MI,Grand Rapids Public Schools,Grand Rapids Public Schools,2020,"399,661,878",,"399,661,878",,"399,661,878",,,
4821450,TX,Grand Saline Independent School District,Grand Saline Independent School District,2020,"2,899,578",,"2,899,578","5,141,109","8,040,687",,,
3904586,OH,Grand Valley Local School District,Grand Valley Local School District,2020,"12,433,817",,"12,433,817",,"12,433,817",,,
804380,CO,Garfield County School District No. 16,Garfield County School District No. 16,2020,"20,282,376",,"20,282,376","2,282,993","22,565,369",,,
4821480,TX,Grandfalls-Royalty Independent School District,Grandfalls-Royalty Independent School District,2020,"583,275",,"583,275","785,035","1,368,310",,,
4013200,OK,Grandfield School District I-249,Grandfield School District I-249,2020,,,0,,0,,,
3904407,OH,Grandview Heights City School District,Grandview Heights City School District,2020,"22,225,895",,"22,225,895",,"22,225,895",,,
4821540,TX,Grandview Independent School District,Grandview Independent School District,2020,"2,618,523",,"2,618,523","5,790,095","8,408,618",,,
4821560,TX,Grandview-Hopkins Independent School District,Grandview-Hopkins Independent School District,2020,"240,837",,"240,837","358,301","599,138",,,
2616470,MI,Grandville Public Schools,Grandville Public Schools,2020,"110,729,492",,"110,729,492",,"110,729,492",,,
4821590,TX,Granger Independent School District,Granger Independent School District,2020,"1,221,368",,"1,221,368","2,389,058","3,610,426",,,
5303180,WA,Granger School District No. 204,Granger School District No. 204,2020,"6,317,785",,"6,317,785",,"6,317,785",,,
4013290,OK,Granite School District I-3,Granite School District I-3,2020,,,0,,0,,,
1717280,IL,Granite City Community Unit School District No.9,Granite City Community Unit School District No.9,2020,,,0,,0,,,
4900360,UT,Granite School District,Granite School District,2020,"214,554,003",,"214,554,003",,"214,554,003",,,
5303210,WA,Granite Falls School District No. 332,Granite Falls School District No. 332,2020,"9,670,236",,"9,670,236",,"9,670,236",,,
2102250,KY,Grant County School District,Grant County School District,2020,"15,121,890",,"15,121,890","61,490,556","76,612,446",,,
5400360,WV,Grant County Board of Education,Grant County Board Of Education,2020,"631,039",,"631,039","10,126,991","10,758,030",,,
615690,CA,Grant Elementary School District,Grant Elementary School District,2020,"7,088,363",,"7,088,363","2,463,690","9,552,053",,,
2200690,LA,Grant Parish School Board,Grant Parish School Board,2020,"30,986,016",,"30,986,016",,"30,986,016",,,
2616500,MI,Grant Public Schools,Grant Public Schools,2020,"30,989,417",,"30,989,417",,"30,989,417",,,
4105910,OR,Grants Pass School District No.7,Grants Pass School District No.7,2020,"87,885,891",,"87,885,891",,"87,885,891",,,
3501170,NM,Grants-Cibola County Schools,Grants-Cibola County Schools,2020,"52,730,448",,"52,730,448",,"52,730,448",,,
5505670,WI,School District of Grantsburg,School District Of Grantsburg,2020,,"1,335,690","-1,335,690",,"-1,335,690",,,
3612450,NY,Granville Central School District,Granville Central School District,2020,"1,637,905","1,260,833","377,072",,"377,072",,,
3701800,NC,Granville County Board of Education,Granville County Board Of Education,2020,"28,569,260",,"28,569,260",,"28,569,260",,,
3904539,OH,Granville Exempted Village School District,Granville Exempted Village School District,2020,"32,352,673",,"32,352,673",,"32,352,673",,,
4821600,TX,Grape Creek Independent School District,Grape Creek Independent School District,2020,"2,763,343",,"2,763,343","5,314,907","8,078,250",,,
4821630,TX,Grapeland Independent School District,Grapeland Independent School District,2020,"1,415,719",,"1,415,719","2,362,059","3,777,778",,,
4821660,TX,Grapevine-Colleyville Independent School District,Grapevine-Colleyville Independent School District,2020,"42,889,132",,"42,889,132","70,703,416","113,592,548",,,
2616830,MI,Grass Lake Community Schools,Grass Lake Community Schools,2020,"24,197,042",,"24,197,042",,"24,197,042",,,
615780,CA,Grass Valley Elementary School District,Grass Valley Elementary School District,2020,"23,709,350",,"23,709,350","7,718,857","31,428,207",,,
615810,CA,Gratton Elementary School District,Gratton Elementary School District,2020,"1,444,840",,"1,444,840","623,330","2,068,170",,,
615840,CA,Gravenstein Union Elementary School District,Gravenstein Union Elementary School District,2020,"8,060,961",,"8,060,961","3,566,016","11,626,977",,,
2102280,KY,Graves County School District,Graves County School District,2020,"15,585,367",,"15,585,367","74,401,747","89,987,114",,,
615870,CA,Graves Elementary School District,Graves Elementary School District,2020,"398,157",,"398,157","236,141","634,298",,,
506840,AR,Gravette School District No. 20,Gravette School District No. 20,2020,"14,947,907",,"14,947,907",,"14,947,907",,,
1717520,IL,Grayslake Community Consolidated School District No. 46,Grayslake Community Consolidated School District No. 46,2020,"9,076,476",,"9,076,476","457,668,285","466,744,761",,,
2102300,KY,Grayson County School District,Grayson County School District,2020,"15,349,409",,"15,349,409","70,347,566","85,696,975",,,
3612510,NY,Great Neck Union Free School District,Great Neck Union Free School District,2020,"17,837,219","15,371,031","2,466,188",,"2,466,188",,,
4210870,PA,Great Valley School District,Great Valley School District,2020,"141,190,000",,"141,190,000",,"141,190,000",,,
3406060,NJ,Greater Egg Harbor Regional High School District,Greater Egg Harbor Regional High School District,2020,"13,716,255",,"13,716,255","145,029,966","158,746,221",,,
4210950,PA,Greater Johnstown School District,Greater Johnstown School District,2020,"58,993,000",,"58,993,000",,"58,993,000",,,
4210980,PA,Greater Latrobe School District,Greater Latrobe School District,2020,"81,776,000",,"81,776,000",,"81,776,000",,,
4216290,PA,Greater Nanticoke Area School District,Greater Nanticoke Area School District,2020,"42,058,000",,"42,058,000",,"42,058,000",,,
3612630,NY,Greece Central School District,Greece Central School District,2020,"22,360,099","13,676,486","8,683,613",,"8,683,613",,,
2102340,KY,Green County School District,Green County School District,2020,"6,484,397",,"6,484,397","28,445,853","34,930,250",,,
506870,AR,Green Forest School District No. 32,Green Forest School District No. 32,2020,"10,651,660",,"10,651,660",,"10,651,660",,,
3905055,OH,Green Local School District,Green Local School District,2020,"12,051,191",,"12,051,191",,"12,051,191",,,
615990,CA,Green Point Elementary School District,Green Point Elementary School District,2020,"167,624",,"167,624","90,567","258,191",,,
5400390,WV,Greenbrier County Board of Education,Greenbrier County Board Of Education,2020,"3,165,284",,"3,165,284","50,797,259","53,962,543",,,
506900,AR,Greenbrier School District No. 47,Greenbrier School District No. 47,2020,"26,508,208",,"26,508,208",,"26,508,208",,,
3612720,NY,Greenburgh Central School District,Greenburgh Central School District,2020,"5,330,316","3,792,684","1,537,632",,"1,537,632",,,
4211010,PA,Greencastle-Antrim School District,Greencastle-Antrim School District,2020,"56,466,608",,"56,466,608",,"56,466,608",,,
5505910,WI,Greendale School District,Greendale School District,2020,"92,284","3,988,114","-3,895,830",,"-3,895,830",,,
3612750,NY,Greene Central School District,Greene Central School District,2020,"1,597,566","1,143,628","453,938",,"453,938",,,
1302490,GA,Greene County Board of Education,Greene County Board Of Education,2020,"32,537,524",,"32,537,524","348,851","32,886,375",,,
4701470,TN,Greene County Schools,Greene County Schools,2020,,,0,,0,,,
1915210,IA,Greene County Community School District,Greene County Community School District,2020,"9,613,194",,"9,613,194",,"9,613,194",,,
2801590,MS,Greene County School District,Greene County School District,2020,"28,912,056",,"28,912,056",,"28,912,056",,,
3701830,NC,Greene County Board of Education,Greene County Board Of Education,2020,"12,962,843",,"12,962,843",,"12,962,843",,,
3904726,OH,Greeneview Local School District,Greeneview Local School District,2020,"14,572,056",,"14,572,056",,"14,572,056",,,
4701500,TN,Greeneville City Schools,Greeneville City Schools,2020,,,0,,0,,,
,TN,Board of Education Town of Greeneville,Board Of Education Town Of Greeneville,2020,"797,932","3,604,535","-2,806,603",,"-2,806,603",,,
5505940,WI,School District of Greenfield,School District Of Greenfield,2020,"4,448,005","4,712,417","-264,412",,"-264,412",,,
616050,CA,Greenfield Union School District,Greenfield Union School District,2020,"111,755,112",,"111,755,112","41,742,668","153,497,780",,,
506930,AR,Greenland School District No. 95,Greenland School District No. 95,2020,"6,844,993",,"6,844,993",,"6,844,993",,,
4210920,PA,Greensburg Salem School District,Greensburg Salem School District,2020,"61,847,000",,"61,847,000",,"61,847,000",,,
5101740,VA,Greensville County School Board,Greensville Schools,2020,"21,052,026",,"21,052,026",,"21,052,026",,,
2102400,KY,Greenup County School District,Greenup County School District,2020,"10,905,791",,"10,905,791","49,409,330","60,315,121",,,
4013380,OK,Greenville Public Schools C-3,Greenville Public Schools C-3,2020,"877,362",,"877,362",,"877,362",,,
4211160,PA,Greenville Area School District,Greenville Area School District,2020,"31,765,000",,"31,765,000",,"31,765,000",,,
3612870,NY,Greenville Central School District,Greenville Central School District,2020,"3,046,141","1,695,791","1,350,350",,"1,350,350",,,
3904409,OH,Greenville City School District,Greenville City School District,2020,"29,774,860",,"29,774,860",,"29,774,860",,,
4821720,TX,Greenville Independent School District,Greenville Independent School District,2020,"14,613,751",,"14,613,751","22,607,271","37,221,022",,,
2801620,MS,Greenville Public School District,Greenville Public School District,2020,"68,762,096",,"68,762,096",,"68,762,096",,,
2617160,MI,Greenville Public Schools,Greenville Public Schools,2020,"72,378,055",,"72,378,055",,"72,378,055",,,
2913380,MO,greenville R-II school district,Greenville R-Ii School District,2020,,,0,,0,,,
4502340,SC,Greenwood School District Number 50,Greenwood School District Number 50,2020,"111,000,000",,"111,000,000",,"111,000,000",,,
4502370,SC,Greenwood County School District 51,Greenwood County School District 51,2020,"11,634,949",,"11,634,949",,"11,634,949",,,
4502400,SC,Greenwood County School District 52,Greenwood County School District 52,2020,"17,415,790",,"17,415,790",,"17,415,790",,,
1804110,IN,Greenwood Community School Corporation,Greenwood Community School Corporation,2020,,,0,,0,,,
4821750,TX,Greenwood Independent School District,Greenwood Independent School District,2020,"5,977,423",,"5,977,423","10,692,693","16,670,116",,,
506990,AR,Greenwood School District No. 25,Greenwood School District No. 25,2020,"29,206,955",,"29,206,955",,"29,206,955",,,
2800198,MS,Greenwood-Leflore Consolidated School District,Greenwood-Leflore Consolidated School District,2020,"77,241,077",,"77,241,077",,"77,241,077",,,
4821780,TX,Gregory-Portland Independent School District,Gregory-Portland Independent School District,2020,"14,466,094",,"14,466,094","21,094,958","35,561,052",,,
616110,CA,Grenada Elementary School District,Grenada Elementary School District,2020,"2,161,443",,"2,161,443","654,825","2,816,268",,,
600051,CA,Gridley Unified School District,Gridley Unified School District,2020,"22,845,212",,"22,845,212","8,717,968","31,563,180",,,
1913200,IA,Grinnell-Newburg Community School District,Grinnell-Newburg Community School District,2020,"9,228,954",,"9,228,954",,"9,228,954",,,
1913230,IA,Griswold Community School District,Griswold Community School District,2020,"2,771,246",,"2,771,246",,"2,771,246",,,
4821810,TX,Groesbeck Independent School District,Groesbeck Independent School District,2020,"4,822,888",,"4,822,888","8,123,057","12,945,945",,,
4821840,TX,Groom Independent School District,Groom Independent School District,2020,"409,628",,"409,628","981,644","1,391,272",,,
2617220,MI,Grosse Ile Schools Township,Grosse Ile Schools Township,2020,"39,865,610",,"39,865,610",,"39,865,610",,,
2625740,MI,Grosse Pointe Public School System,Grosse Pointe Public School System,2020,"205,081,334",,"205,081,334",,"205,081,334",,,
616230,CA,Grossmont Union High School District,Grossmont Union High School District,2020,"237,963,474",,"237,963,474","79,109,584","317,073,058",,,
3613020,NY,Groton Central School District,Groton Central School District,2020,"1,338,697","926,293","412,404",,"412,404",,,
4013530,OK,Grove School District No. I-2,Grove School District No. I-2,2020,,,0,,0,,,
4211220,PA,Grove City Area School District,Grove City Area School District,2020,"60,771,000",,"60,771,000",,"60,771,000",,,
3904697,OH,Groveport Madison Local School District,Groveport Madison Local School District,2020,"74,598,537",,"74,598,537",,"74,598,537",,,
4821900,TX,Groveton Independent School District,Groveton Independent School District,2020,"3,392,658",,"3,392,658","3,618,654","7,011,312",,,
4701530,TN,Grundy County Schools,Grundy County Schools,2020,,,0,,0,,,
1701393,IL,Grundy County Special Education Cooperative,Grundy County Special Education Cooperative,2020,"1,837,703",,"1,837,703","44,140,485","45,978,188",,,
4821930,TX,Gruver Independent School District,Gruver Independent School District,2020,"1,290,890",,"1,290,890","3,057,449","4,348,339",,,
616260,CA,Guadalupe Union School District,Guadalupe Union School District,2020,"16,360,357",,"16,360,357","6,402,289","22,762,646",,,
616320,CA,Guerneville Elementary School District,Guerneville Elementary School District,2020,"3,602,529",,"3,602,529","1,127,523","4,730,052",,,
3613080,NY,Guilderland Central School District,Guilderland Central School District,2020,"8,127,187","6,628,507","1,498,680",,"1,498,680",,,
1200690,FL,Gulf County District School Board,Gulf County District School Board,2020,"13,462,910",,"13,462,910",,"13,462,910",,,
100202,AL,Gulf Shores City Schools Board of Education,Gulf Shores City Schools Board Of Education,2020,"2,846,000",,"2,846,000",,"2,846,000",,,
2801710,MS,Gulfport School District,Gulfport School District,2020,"98,515,049",,"98,515,049",,"98,515,049",,,
2617250,MI,Gull Lake Community Schools,Gull Lake Community Schools,2020,"65,113,523",,"65,113,523",,"65,113,523",,,
804470,CO,Gunnison Watershed School District Re-1,Gunnison Watershed School District Re-1,2020,"32,177,124",,"32,177,124","3,621,871","35,798,995",,,
4821960,TX,Gunter Independent School District,Gunter Independent School District,2020,"5,574,122",,"5,574,122","6,326,042","11,900,164",,,
101690,AL,Guntersville City Board of Education,Guntersville City Board Of Education,2020,"16,199,000",,"16,199,000",,"16,199,000",,,
