NCES ID,State,School District (Portal Name),acfrs_original_name,Year,Net Pension Liability,Net Pension Asset,NPL less NPA,States Proportionate Share of Net Pension liability,Overall Liability (Asset) Associated with District Staff,Comments,Employer name in GASB 68/ACFR,
1200030,FL,Alachua District School Board County,Alachua District School Board County,2020,"169,878,114",,"169,878,114",,"169,878,114",,,
601770,CA,Alameda Unified School District,Alameda Unified School District,2020,"124,851,101",,"124,851,101","48,791,116","173,642,217",,,
,TN,Alamo City Schools,Alamo City Schools,2020,,,0,,0,,,
4807590,TX,Alamo Heights Independent School District,Alamo Heights Independent School District,2020,"14,655,618",,"14,655,618","22,193,644","36,849,262",,,
802070,CO,Alamosa School District Re-11J,Alamosa School District Re-11J,2020,"29,645,208",,"29,645,208","3,760,112","33,405,320",,,
2621810,MI,Alanson Public Schools,Alanson Public Schools,2020,"3,778,694",,"3,778,694",,"3,778,694",,,
2602040,MI,Alba Public Schools,Alba Public Schools,2020,"2,367,330",,"2,367,330",,"2,367,330",,,
4807650,TX,Alba-Golden Independent School District,Alba-Golden Independent School District,2020,"2,316,467",,"2,316,467","4,394,567","6,711,034",,,
3602460,NY,City School District of The City of Albany,City School District Of The City Of Albany,2020,"19,606,628","14,499,969","5,106,659",,"5,106,659",,,
601860,CA,Albany Unified School District,Albany Unified School District,2020,"48,391,096",,"48,391,096","17,961,299","66,352,395",,,
5600730,WY,Albany County School District No.1,Albany County School District No.1,2020,"43,756,567",,"43,756,567",,"43,756,567",,,
4807680,TX,Albany Independent School District,Albany Independent School District,2020,"1,418,615",,"1,418,615","2,760,472","4,179,087",,,
4202100,PA,Albert Gallatin Area School District,Albert Gallatin Area School District,2020,"69,800,000",,"69,800,000",,"69,800,000",,,
100005,AL,Albertville City Board of Education,Albertville City Board Of Education,2020,"39,959,000",,"39,959,000",,"39,959,000",,,
1903270,IA,Albia Community School District,Albia Community School District,2020,"5,690,374",,"5,690,374",,"5,690,374",,,
4002580,OK,Albion Public Schools,Albion Public Schools,2020,,,0,,0,,,
3602520,NY,Albion Central School District,Albion Central School District,2020,"2,110,390","2,035,497","74,893",,"74,893",,,
1903300,IA,Alburnett Community School District,Alburnett Community School District,2020,"3,218,703",,"3,218,703",,"3,218,703",,,
4700060,TN,Alcoa City Schools,Alcoa City Schools,2020,,,0,,0,,,
2602160,MI,Alcona Community Schools,Alcona Community Schools,2020,"13,553,080",,"13,553,080",,"13,553,080",,,
2800390,MS,Alcorn School District,Alcorn School District,2020,"47,518,558",,"47,518,558",,"47,518,558",,,
3602550,NY,Alden Central School District,Alden Central School District,2020,"3,127,468","1,912,602","1,214,866",,"1,214,866",,,
1900032,IA,Alden Community School District,Alden Community School District,2020,"1,185,669",,"1,185,669",,"1,185,669",,,
4807710,TX,Aldine Independent School District,Aldine Independent School District,2020,"206,674,704",,"206,674,704","311,587,597","518,262,301",,,
4807780,TX,Aledo Independent School District,Aledo Independent School District,2020,"14,949,001",,"14,949,001","25,150,857","40,099,858",,,
200007,AK,Aleutians East Borough School District,Aleutians East Borough School District,2020,"3,481,263",,"3,481,263","3,763,320","7,244,583",,,
4002670,OK,Alex School District I-56,Alex School District I-56,2020,,,0,,0,,,
100030,AL,Alexander City Board of Education,Alexander City Board Of Education,2020,"25,436,000",,"25,436,000",,"25,436,000",,,
3700090,NC,Alexander County Board of Education,Alexander County Board Of Education,2020,"20,069,392",,"20,069,392",,"20,069,392",,,
3904590,OH,Alexander Local School District,Alexander Local School District,2020,"19,009,638",,"19,009,638",,"19,009,638",,,
601890,CA,Alexander Valley Union School District,Alexander Valley Union School District,2020,"2,005,886",,"2,005,886","743,690","2,749,576",,,
1800120,IN,Alexandria Community School Corporation,Alexandria Community School Corporation,2020,,,0,,0,,,
2703060,MN,Independent School District No. 206,Independent School District No. 206 Alexandria Public Schools,2020,"32,336,898",,"32,336,898","2,438,683","34,775,581",,,
5500150,WI,School District of Algoma,School District Of Algoma,2020,,"881,144","-881,144",,"-881,144",,,
1903360,IA,Algona Community School District,Algona Community School District,2020,"7,497,096",,"7,497,096",,"7,497,096",,,
2602190,MI,Algonac Community Schools,Algonac Community Schools,2020,"24,865,836",,"24,865,836",,"24,865,836",,,
400600,AZ,Alhambra Elementary School District No. 68,Alhambra Elementary School District No. 68,2020,"93,549,430",,"93,549,430",,"93,549,430",,,
600153,CA,Alhambra Unified School District,Alhambra Unified School District,2020,"223,855,495",,"223,855,495","84,188,010","308,043,505",,,
4807800,TX,Alice Independent School District,Alice Independent School District,2020,"12,390,227",,"12,390,227","22,287,048","34,677,275",,,
4807830,TX,Alief Independent School District,Alief Independent School District,2020,"164,843,644",,"164,843,644","220,055,537","384,899,181",,,
4002720,OK,Aline-Cleo School District I-4,Aline-Cleo School District I-4,2020,,,0,,0,,,
4202130,PA,Aliquippa School District,Aliquippa School District,2020,"25,309,000",,"25,309,000",,"25,309,000",,,
601950,CA,Alisal Union School District,Alisal Union School District,2020,"93,832,821",,"93,832,821","36,030,787","129,863,608",,,
1903390,IA,Allamakee Community School District,Allamakee Community School District,2020,"5,888,324",,"5,888,324",,"5,888,324",,,
2602220,MI,Allegan Public Schools,Allegan Public Schools,2020,"48,992,936",,"48,992,936",,"48,992,936",,,
3600015,NY,Allegany-Limestone Central School District,Allegany-Limestone Central School District,2020,"1,845,317","1,146,703","698,614",,"698,614",,,
3700120,NC,Alleghany County Board of Education,Alleghany County Board Of Education,2020,"6,615,155",,"6,615,155",,"6,615,155",,,
4202310,PA,Allegheny-Clarion Valley School District,Allegheny-Clarion Valley School District,2020,"19,368,000",,"19,368,000",,"19,368,000",,,
4002760,OK,Allen School District No. I-1,Allen School District No. 1-1,2020,,,0,,0,,,
3102880,NE,Allen Public School District No. 70,Allen Public School District No. 70,2020,"865,229",,"865,229",,"865,229",,,
2100070,KY,Allen County School District,Allen County School District,2020,"11,046,803",,"11,046,803","52,698,765","63,745,568",,,
